Medium	Week_Excel	Number_of_Cases	Arg_Recode_1	Arg_Recode_2	Arg_Recode_3	Arg_Recode_4	Arg_Recode_5	Arg_Recode_6	Arg_Recode_7	Arg_Recode_8	Arg_Recode_9	Arg_Recode_10	Arg_Dicho_1	Arg_Dicho_2	Arg_Dicho_9	Date_Phase
1	38885	1	0	0	0	0	0	1	0	0	0	5	0	6	3	1
1	38892	2	0.5	0	0	0	1	0	0.5	0	0	1	1.5	1.5	3	1
1	38899	2	0.5	0.5	0.5	0	1.5	0	0.5	0	0	0	3	0.5	1.5	1
1	38906	1	0	0	0	0	0	2	3	0	0	3	0	8	1	1
3	38892	3	0.333333333	0.333333333	0	0	0.666666667	0.666666667	0.333333333	0	0	0.666666667	1.333333333	1.666666667	2	1
3	38906	1	0	0	0	0	0	2	1	0	0	2	0	5	3	1
11	38864	1	0	0	0	0	0	1	0	0	0	1	0	2	0	1
11	38878	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1
11	38885	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
11	38899	2	0	0	0	0	0	1	0	0	0	1	0	2	0.5	1
11	38906	1	0	0	0	0	0	6	3	0	0	7	0	16	0	1
12	38878	1	0	1	2	0	1	1	0	0	0	0	4	1	0	1
12	38885	1	0	0	0	0	0	3	0	0	0	4	0	7	0	1
12	38892	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
12	38913	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1
13	38871	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
13	38878	2	0	0	0	0	0.5	1	0	0	0	0.5	0.5	1.5	0	1
13	38885	2	0	0.5	0	0	0	3	0.5	0	0	2.5	0.5	6	1	1
13	38892	3	0.333333333	0.666666667	0	0	3.333333333	2.666666667	0.333333333	0	0	4.666666667	4.333333333	7.666666667	0.666666667	1
13	38899	1	1	0	2	0	5	0	0	0	0	1	8	1	0	1
13	38906	2	0	0	0	0	0	4	4.5	0.5	0	3	0	12	0	1
14	38878	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1
14	38885	1	0	0	0	0	0	3	2	3	0	15	0	23	5	1
14	38892	1	0	0	0	0	0	2	0	0	0	6	0	8	1	1
