intnum	sex	age	Zeitung_W1	TV_W1	Zeitung_W2	TV_W2	Zeitung_W3	TV_W3	Einstellung_W1	Einstellung_W2	Einstellung_W3	Einstellung_Pro1	Einstellung_Pro2	Einstellung_Pro3	Cert1	Cert2	Cert3	Media_Reliance	Disk_Reliance	dim_bildung	dim_x	dim_y	dim_lr	dim_spr
10002	2	45	21	6	2	21	2	21	1	1	2	-1.06216336698896	-1.68085817655503	-1.13322390895655	1	1	1	1	.733333333333333	.6	6.62	2.2	 	1
10209	2	42	21	2	 	 	 	 	6	 	 	1.16889230758791	 	 	.8	 	 	.733333333333333	.666666666666667	.6	6.62	2.2	0	1
10223	1	53	14	6	 	 	 	 	2	 	 	-1.6785768462718	 	 	1	 	 	.866666666666667	.733333333333333	1	5.83	1.85	-.2	1
10256	2	42	31	7	 	 	 	 	5	 	 	-.330037162979916	 	 	.6	 	 	.8	.733333333333333	.6	5.27	1.78	0	0
10315	2	57	15	1	1	15	1	15	8	10	10	.241082793230468	.489555510841521	.254664094403769	.8	1	1	.8	.6	.8	7.05	2.25	.2	1
10386	2	28	31	3	8	-99.99	7	15	8	8	8	.51743679128786	.609284855600371	.471645820979661	.6	.8	.6	.6	.333333333333333	.8	5.56	1.45	 	0
10396	1	69	15	1	1	15	6	15	1	1	1	-2.13971324531324	-1.13971923374076	-1.34879503585396	1	1	1	.666666666666667	.6	1	6.94	2.39	-.4	1
10419	2	53	15	6	2	15	2	15	8	5	4	.33791508602538	-.115294703150551	-.174296936568652	.6	.6	.8	.733333333333333	.733333333333333	.6	6.82	2.55	.4	1
10437	1	69	20	6	6	20	2	20	5	3	4	-.277859330401576	-.833520374099543	-1.22693263879541	.8	.8	.8	.733333333333333	.4	.6	6.09	2.01	0	1
10453	1	60	30	2	1	20	 	 	5	8	 	-.0908354802357926	.718192807256889	 	.8	.6	 	.866666666666667	.8	.6	6.03	2.165	0	1
10473	2	73	21	1	2	21	2	21	10	8	8	.628192053291005	1.33181085823022	1.30316604253542	1	1	1	.533333333333333	.666666666666667	.6	6.61	2.12	0	1
10542	1	57	31	5	5	30	5	31	1	1	1	 	-1.57348004593515	-1.43641474920079	1	1	.8	.6	.533333333333333	1	5.355	1.545	-.6	0
10585	2	41	33	9	9	15	6	15	6	7	6	-.0656350272598366	.0353351826454604	-.35884313894609	.6	.8	.8	.733333333333333	.666666666666667	.6	7.52	2.13	-.2	1
