TS	Initial_Agreement	Final_Agreement	SD_Final_Agreement	DRSQ_Training	DRSQ_Test	M_coeff_a	SD_coeff_a	Low_coeff_a	High_coeff_a	M_coeff_b	SD_coeff_b	Low_coeff_b	High_coeff_b	M_coeff_c	SD_coeff_c	Low_coeff_c	High_coeff_c	M_coeff_d	SD_coeff_d	Low_coeff_d	High_coeff_d	M_coeff_e	SD_coeff_e	Low_coeff_e	High_coeff_e
Thu Jul  4 10:20:55 2019	3.32527709027238	3.413675163901572	0.11620596514870282	-1.7181818051243507	5.121795591139526	-0.003953935106714623	0.01091213976246177	-0.018916748200008313	0.02794288659011368	0.001447505392135203	0.007860007885617764	-0.011165446279175359	0.01634569383208734	0.01044526332572162	0.008688556722454199	-0.0034721756112391206	0.02751496686646802	1.0097418032452077	0.06265907925004448	0.9020166572046626	1.1128507781083723	0.0071119854064891005	0.010652852534629189	-0.007895449928873685	0.032922754541618
Thu Jul  4 10:23:32 2019	3.7791914793289925	4.012761755717352	0.18086239287144215	8.86433035365879	5.460841761936981	-0.005599846100521089	0.010060026112794634	-0.02118491143019656	0.01473011222575784	0.002969754461120428	0.008459196971722966	-0.011165446279175359	0.017392644142529473	0.012000070876870578	0.00927320065648168	0.0001123599316922852	0.03904086458550249	1.0162905607828978	0.0666439583368372	0.9020166572046626	1.1726715277688984	0.014477744619947242	0.014020729245148921	-0.007895449928873685	0.04256464411608442
Thu Jul  4 10:26:07 2019	3.6628788674605888	3.9340270121271685	0.09042744340015527	7.2826312499900885	6.521698416517421	-0.005782912319042145	0.01030759527704083	-0.02118491143019656	0.01473011222575784	0.002995805213166459	0.009101322270681673	-0.009414922519019863	0.017392644142529473	0.016572549942018074	0.00995874475222796	0.0028490997498991956	0.03904086458550249	1.0289012288891428	0.07235819565281955	0.9049560397995765	1.1726715277688984	0.020332660920124982	0.013920711740852278	-0.00048247140009001835	0.04256464411608442
Thu Jul  4 10:28:42 2019	3.920189469539118	4.122059058581226	0.05392237214308018	5.14213276230929	8.970242169723745	-0.0063859283069603225	0.00976180050606211	-0.018022883250116112	0.012948034691682979	0.0020676582472304015	0.010126780134834604	-0.013641173848419908	0.018300579059063928	0.019086459480961295	0.010014278964692258	0.0032809091848324274	0.03904086458550249	1.0434314012622024	0.072631761503513	0.9478044208608633	1.1726715277688984	0.02264204927961008	0.012046672742528304	-0.00048247140009001835	0.04185951717410618
Thu Jul  4 10:31:24 2019	3.7057622076521812	3.953483237296775	0.04374042530355165	6.572484573739344	7.9268276778617555	-0.005338002164417179	0.011137458416114892	-0.022917124904193738	0.013148493825699265	9.581846646816775e-05	0.009436179332919004	-0.013641173848419908	0.017392644142529473	0.021745272298931927	0.008335816586879074	0.009394582126812514	0.03904086458550249	1.0384233652274166	0.07486562940262302	0.9045697162438492	1.1726715277688984	0.01884323782574394	0.008799427504967611	0.005337424025269913	0.034611837320320346
Thu Jul  4 10:33:38 2019	3.912497593795692	4.240226679986649	0.0424095474222551	8.513383048037376	6.7807530037869785	-0.002195771994526734	0.013125089761723677	-0.022917124904193738	0.023811889087586708	0.001398062934730274	0.00967371407522478	-0.013641173848419908	0.022796659035557897	0.024890096415471807	0.006677202023323444	0.014541158547534593	0.03904086458550249	1.0275836818325463	0.07475240207576901	0.9045697162438492	1.1645160974457107	0.015479194610895641	0.006694542114323595	0.005822962758930147	0.02488230688598289
Thu Jul  4 10:35:46 2019	3.5295801698877	3.831352976166856	0.021841138821701453	8.210395411163574	7.19473847514356	0.0031937263715789404	0.012848618677751202	-0.01497138219445933	0.023811889087586708	0.0037008143917068065	0.009272781934306031	-0.009374203483718114	0.026085543369494573	0.027288890027889912	0.005513264715004308	0.01993668104209634	0.04116005438055216	1.0261499120815802	0.0716571827762656	0.9374131076338628	1.1645160974457107	0.014303243632403938	0.005590504330962862	0.005822962758930147	0.02343323377081426
Thu Jul  4 10:37:50 2019	3.698823277960631	4.024126139857041	0.013651770296548406	8.277725956528874	6.99135883046286	0.010827689606880634	0.013553794405692097	-0.009616684604007532	0.033158784652145126	0.007676809199281853	0.01020993805199284	-0.007193677319848723	0.026585679643860924	0.0286579282107473	0.004634844249319172	0.02145610687989369	0.03577859889787402	1.0436427926836607	0.07087262384876598	0.9435448734732129	1.1645160974457107	0.014009832101433192	0.00475209867412784	0.007518704638628113	0.0220621311623238
Thu Jul  4 10:39:57 2019	3.5267558066043154	3.756631649533259	0.010089993763043457	5.881455367665142	8.652140432172574	0.01116147594833201	0.015472297125863305	-0.008725898839817744	0.03653040231528314	0.009931122845898732	0.009256625425663807	-0.004685774190329119	0.02929874153999195	0.02841019958369785	0.003885583421404238	0.021010863201027803	0.03460008318439217	1.0658885042607553	0.07571390747913692	0.9506877830473771	1.1736253874490132	0.013198483168760626	0.0038450090310407805	0.008856990438625856	0.020820505003567916
Thu Jul  4 10:42:02 2019	4.0292131921092365	4.306391269466135	0.0187507278521565	6.358071195841321	8.193173726760424	0.009807815304589415	0.019158092343304952	-0.02358523638313474	0.04361337042027018	0.014178524240501695	0.009415715984665786	0.0029848196754910447	0.03768589573248753	0.028271893236950014	0.0033793259962762337	0.02316649330393942	0.0341404853934886	1.062672733595713	0.0759913900219372	0.954697323163535	1.1736253874490132	0.011740731992783741	0.0033782198231627684	0.005913329994900276	0.020065350178244436
